timestamp;dataset;model;configuration;seed;status;duration_seconds;run_directory
2026-07-30T08:29:04+03:00;synthetic;deepset;default;42;success;63;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/deepset/default/seed_42
2026-07-30T08:30:08+03:00;synthetic;deepset;default;43;success;62;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/deepset/default/seed_43
2026-07-30T08:31:10+03:00;synthetic;deepset;default;44;success;61;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/deepset/default/seed_44
2026-07-30T08:32:14+03:00;synthetic;deepset;default;45;success;62;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/deepset/default/seed_45
2026-07-30T08:33:17+03:00;synthetic;deepset;default;46;success;62;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/deepset/default/seed_46
2026-07-30T08:42:00+03:00;synthetic;set_transformer;sab;42;success;521;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/sab/seed_42
2026-07-30T08:50:42+03:00;synthetic;set_transformer;sab;43;success;520;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/sab/seed_43
2026-07-30T08:59:27+03:00;synthetic;set_transformer;sab;44;success;524;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/sab/seed_44
2026-07-30T09:08:07+03:00;synthetic;set_transformer;sab;45;success;519;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/sab/seed_45
2026-07-30T09:16:54+03:00;synthetic;set_transformer;sab;46;success;526;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/sab/seed_46
2026-07-30T09:32:03+03:00;synthetic;set_transformer;isab_inducing_8;42;success;907;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_8/seed_42
2026-07-30T09:47:12+03:00;synthetic;set_transformer;isab_inducing_8;43;success;908;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_8/seed_43
2026-07-30T10:02:20+03:00;synthetic;set_transformer;isab_inducing_8;44;success;907;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_8/seed_44
2026-07-30T10:17:28+03:00;synthetic;set_transformer;isab_inducing_8;45;success;907;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_8/seed_45
2026-07-30T10:32:41+03:00;synthetic;set_transformer;isab_inducing_8;46;success;912;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_8/seed_46
2026-07-30T10:48:00+03:00;synthetic;set_transformer;isab_inducing_16;42;success;918;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_16/seed_42
2026-07-30T11:03:13+03:00;synthetic;set_transformer;isab_inducing_16;43;success;912;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_16/seed_43
2026-07-30T11:18:36+03:00;synthetic;set_transformer;isab_inducing_16;44;success;922;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_16/seed_44
2026-07-30T11:33:48+03:00;synthetic;set_transformer;isab_inducing_16;45;success;910;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_16/seed_45
2026-07-30T11:49:01+03:00;synthetic;set_transformer;isab_inducing_16;46;success;911;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_16/seed_46
2026-07-30T12:04:14+03:00;synthetic;set_transformer;isab_inducing_32;42;success;912;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_32/seed_42
2026-07-30T12:19:23+03:00;synthetic;set_transformer;isab_inducing_32;43;success;908;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_32/seed_43
2026-07-30T12:34:40+03:00;synthetic;set_transformer;isab_inducing_32;44;success;916;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_32/seed_44
2026-07-30T12:50:02+03:00;synthetic;set_transformer;isab_inducing_32;45;success;921;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_32/seed_45
2026-07-30T13:05:18+03:00;synthetic;set_transformer;isab_inducing_32;46;success;915;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/set_transformer/isab_inducing_32/seed_46
2026-07-30T13:09:18+03:00;synthetic;janossy_gru;inference_permutations_1;42;success;238;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_42
2026-07-30T13:13:21+03:00;synthetic;janossy_gru;inference_permutations_1;43;success;242;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_43
