dataset;model;configuration;seed;test_accuracy;macro_f1;weighted_f1;test_loss;best_validation_accuracy;best_epoch;trainable_parameters;training_time_seconds;inference_time_seconds;inference_time_per_node_ms;degree_0_accuracy;degree_0_count;degree_1_2_accuracy;degree_1_2_count;degree_3_5_accuracy;degree_3_5_count;degree_6_10_accuracy;degree_6_10_count;degree_gt_10_accuracy;degree_gt_10_count;precision_per_class;recall_per_class;checkpoint
citeseer;set_transformer;isab_inducing_8;46;0,70570570230484;0,630126504748575;0,684484541843788;0,903683960437775;0,750750780105591;12;1465478;951,966159197;0,729320808000921;2,19015257657934;0,625;8;0,655502378940582;209;0,797619044780731;84;0,827586233615875;29;0,666666686534882;3;"{""0"": 1.0, ""1"": 0.6031746031746031, ""2"": 0.7714285714285715, ""3"": 0.6785714285714286, ""4"": 0.7619047619047619, ""5"": 0.7058823529411765}";"{""0"": 0.07692307692307693, ""1"": 0.6440677966101694, ""2"": 0.8059701492537313, ""3"": 0.8142857142857143, ""4"": 0.8, ""5"": 0.7058823529411765}";results/model_evaluation/citeseer/set_transformer/isab_inducing_8/seed_46/set_transformer_citeseer_isab.pt
citeseer;set_transformer;sab;42;0,723723709583283;0,643801399258652;0,69972682226793;0,908222556114197;0,783783793449402;10;1264262;571,171491314002;0,393351261001953;1,18123501802388;0,625;8;0,714953243732452;214;0,730769217014313;78;0,818181812763214;22;0,727272748947144;11;"{""0"": 0.3333333333333333, ""1"": 0.6268656716417911, ""2"": 0.7027027027027027, ""3"": 0.72, ""4"": 0.7833333333333333, ""5"": 0.8333333333333334}";"{""0"": 0.037037037037037035, ""1"": 0.711864406779661, ""2"": 0.7761194029850746, ""3"": 0.7714285714285715, ""4"": 0.7966101694915254, ""5"": 0.8823529411764706}";results/model_evaluation/citeseer/set_transformer/sab/seed_42/set_transformer_citeseer_sab.pt
citeseer;set_transformer;sab;43;0,693693697452545;0,616574905431516;0,670653562896372;0,954184234142304;0,723723769187927;10;1264262;563,625762147;0,393383225004072;1,18133100601824;0,5;4;0,663414657115936;205;0,75862067937851;87;0,699999988079071;30;0,857142865657806;7;"{""0"": 0.5, ""1"": 0.5584415584415584, ""2"": 0.6461538461538462, ""3"": 0.7215189873417721, ""4"": 0.8032786885245902, ""5"": 0.7959183673469388}";"{""0"": 0.037037037037037035, ""1"": 0.7288135593220338, ""2"": 0.6268656716417911, ""3"": 0.8142857142857143, ""4"": 0.8305084745762712, ""5"": 0.7647058823529411}";results/model_evaluation/citeseer/set_transformer/sab/seed_43/set_transformer_citeseer_sab.pt
citeseer;set_transformer;sab;44;0,717717707157135;0,633488165863247;0,690752573153379;0,886436879634857;0,717717707157135;9;1264262;562,348405909004;0,394935211006668;1,18599162464465;0,25;4;0,679069757461548;215;0,792207777500153;77;0,806451618671417;31;1;6;"{""0"": 1.0, ""1"": 0.6491228070175439, ""2"": 0.7083333333333334, ""3"": 0.7777777777777778, ""4"": 0.654320987654321, ""5"": 0.82}";"{""0"": 0.037037037037037035, ""1"": 0.6271186440677966, ""2"": 0.7611940298507462, ""3"": 0.8, ""4"": 0.8983050847457628, ""5"": 0.803921568627451}";results/model_evaluation/citeseer/set_transformer/sab/seed_44/set_transformer_citeseer_sab.pt
citeseer;set_transformer;sab;45;0,744744718074799;0,65548611340476;0,720461050568571;0,932969033718109;0,759759783744812;9;1264262;569,160535399002;0,39660121199995;1,19099463063048;0,400000005960465;5;0,730434775352478;230;0,800000011920929;75;0,789473712444305;19;0,75;4;"{""0"": 0.3333333333333333, ""1"": 0.7121212121212122, ""2"": 0.8181818181818182, ""3"": 0.7631578947368421, ""4"": 0.7083333333333334, ""5"": 0.74}";"{""0"": 0.038461538461538464, ""1"": 0.7966101694915254, ""2"": 0.8059701492537313, ""3"": 0.8285714285714286, ""4"": 0.85, ""5"": 0.7254901960784313}";results/model_evaluation/citeseer/set_transformer/sab/seed_45/set_transformer_citeseer_sab.pt
citeseer;set_transformer;sab;46;0,732732713222504;0,662257093996056;0,712651354450947;0,96841162443161;0,762762784957886;8;1264262;569,966329051;0,394777109002462;1,18551684385124;0,625;8;0,70334929227829;209;0,797619044780731;84;0,793103456497192;29;0,666666686534882;3;"{""0"": 1.0, ""1"": 0.6229508196721312, ""2"": 0.7714285714285715, ""3"": 0.7176470588235294, ""4"": 0.7428571428571429, ""5"": 0.8181818181818182}";"{""0"": 0.11538461538461539, ""1"": 0.6440677966101694, ""2"": 0.8059701492537313, ""3"": 0.8714285714285714, ""4"": 0.8666666666666667, ""5"": 0.7058823529411765}";results/model_evaluation/citeseer/set_transformer/sab/seed_46/set_transformer_citeseer_sab.pt
synthetic;deepset;default;42;0,735735714435577;0,734872611464968;0,73455461831258;0,512275278568268;0,774774789810181;2;35458;59,2917326280003;0,0589736350011663;0,177098003006505;;0;;0;;0;0,735735714435577;333;;0;"{""0"": 0.6984126984126984, ""1"": 0.7847222222222222}";"{""0"": 0.8098159509202454, ""1"": 0.6647058823529411}";results/model_evaluation/synthetic/deepset/default/seed_42/deepset_synthetic.pt
synthetic;deepset;default;43;0,801801800727844;0,801714182605558;0,801801801801802;0,386098265647888;0,795795798301697;32;35458;58,6433788700015;0,0594000290002441;0,178378465466199;;0;;0;;0;0,801801800727844;333;;0;"{""0"": 0.7975460122699386, ""1"": 0.8058823529411765}";"{""0"": 0.7975460122699386, ""1"": 0.8058823529411765}";results/model_evaluation/synthetic/deepset/default/seed_43/deepset_synthetic.pt
synthetic;deepset;default;44;0,774774789810181;0,774253613298021;0,774025605151942;0,484403222799301;0,786786794662476;2;35458;58,112044208001;0,0589744799999608;0,177100540540423;;0;;0;;0;0,774774789810181;333;;0;"{""0"": 0.7365591397849462, ""1"": 0.8231292517006803}";"{""0"": 0.8404907975460123, ""1"": 0.711764705882353}";results/model_evaluation/synthetic/deepset/default/seed_44/deepset_synthetic.pt
synthetic;deepset;default;45;0,756756782531738;0,756440471353109;0,756255971534314;0,497101753950119;0,750750780105591;5;35458;58,6250472669999;0,0605810899996868;0,181925195194255;;0;;0;;0;0,756756782531738;333;;0;"{""0"": 0.7252747252747253, ""1"": 0.7947019867549668}";"{""0"": 0.8098159509202454, ""1"": 0.7058823529411765}";results/model_evaluation/synthetic/deepset/default/seed_45/deepset_synthetic.pt
