dataset;model;configuration;number_of_runs;test_accuracy_mean;test_accuracy_std;macro_f1_mean;macro_f1_std;weighted_f1_mean;weighted_f1_std;test_loss_mean;test_loss_std;best_validation_accuracy_mean;best_validation_accuracy_std;best_epoch_mean;best_epoch_std;trainable_parameters_mean;trainable_parameters_std;training_time_seconds_mean;training_time_seconds_std;inference_time_seconds_mean;inference_time_seconds_std;inference_time_per_node_ms_mean;inference_time_per_node_ms_std;degree_0_accuracy_mean;degree_0_accuracy_std;degree_0_count_mean;degree_0_count_std;degree_1_2_accuracy_mean;degree_1_2_accuracy_std;degree_1_2_count_mean;degree_1_2_count_std;degree_3_5_accuracy_mean;degree_3_5_accuracy_std;degree_3_5_count_mean;degree_3_5_count_std;degree_6_10_accuracy_mean;degree_6_10_accuracy_std;degree_6_10_count_mean;degree_6_10_count_std;degree_gt_10_accuracy_mean;degree_gt_10_accuracy_std;degree_gt_10_count_mean;degree_gt_10_count_std
citeseer;deepset;default;5;0,7585585713386533;0,02009995219554068;0,714708410368361;0,019390917264494337;0,7490625872601122;0,016404272776156362;0,877651584148408;0,1699174323365071;0,7759760022163392;0,03401489079956695;27,8;6,906518659932804;981894,0;0,0;132,6060395956024;0,9859760255509635;0,1983587746013654;0,009691959161854828;0,5956719957998962;0,029104982468032337;0,455000001192093;0,13964239985078752;5,8;2,04939015319192;0,7424139618873598;0,024425125672715767;214,6;9,502631214563678;0,7957552671432493;0,036365487813589135;80,2;5,069516742254631;0,8191938400268552;0,07017485872980461;26,2;5,357238094391549;0,8183982729911804;0,1246807680089837;6,2;3,1144823004794873
citeseer;janossy_gru;inference_permutations_1;5;0,7573573589324952;0,02680927927436068;0,7175345754761216;0,0378940194766615;0,749905411067971;0,028414049135034317;0,7798315405845644;0,07932237977520949;0,7801801919937134;0,026640530807143202;35,6;4,159326868617085;1064454,0;0,0;222,2600650319992;6,464324857350567;0,271424650598783;0,0038315019999152133;0,8150890408371865;0,011506012011757353;0,47000000476837156;0,2196588298924514;5,8;2,04939015319192;0,7480133652687073;0,026342480190105034;214,6;9,502631214563678;0,7835818052291869;0,031412383327924176;80,2;5,069516742254631;0,8060755491256713;0,07644127727960048;26,2;5,357238094391549;0,785064935684204;0,07724876527574574;6,2;3,1144823004794873
citeseer;janossy_gru;inference_permutations_10;5;0,7633633732795714;0,01985165320706948;0,721488252410504;0,031769472760554134;0,7550996214434158;0,022316236190080066;0,7582403659820558;0,08679268695760825;0,7777777910232544;0,027848687591556707;34,8;3,962322551231789;1064454,0;0,0;349,6955611423996;3,3664800323364115;2,690733835801076;0,03730323661052215;8,080281789192417;0,11202173156313404;0,47000000476837156;0,2196588298924514;5,8;2,04939015319192;0,750850570201874;0,01798137201256011;214,6;9,502631214563678;0,7937421202659608;0,03693559272196316;80,2;5,069516742254631;0,8193763852119444;0,08620123246913716;26,2;5,357238094391549;0,785064935684204;0,07724876527574574;6,2;3,1144823004794873
citeseer;janossy_gru;inference_permutations_20;5;0,7615615725517276;0,01266969577639722;0,7234226741474237;0,020751103233249225;0,7548846636751636;0,013546128199630103;0,7558503389358521;0,06142554285189943;0,7795796036720276;0,029084207516336835;34,6;3,361547262794322;1064454,0;0,0;517,2203336620004;11,474515238057721;5,664534299202207;0,08860220664593468;17,010613511117743;0,26607269263046174;0,47000000476837156;0,2196588298924514;5,8;2,04939015319192;0,7500444054603576;0,017623872408222288;214,6;9,502631214563678;0,788545799255371;0,017830569113291242;80,2;5,069516742254631;0,8167695879936219;0,04730061020412734;26,2;5,357238094391549;0,803246760368347;0,0955278944271986;6,2;3,1144823004794873
citeseer;janossy_gru;inference_permutations_5;5;0,7567567586898803;0,02306652103810263;0,7139693711407358;0,03492610572498;0,7486488538292938;0,02569554582958709;0,7822192668914796;0,09714714934866074;0,781381404399872;0,02730917761267081;36,0;4,69041575982343;1064454,0;0,0;285,0697264967978;10,92659292140413;1,36125057119789;0,05856864843682146;4,087839553146812;0,17588182713759665;0,47000000476837156;0,2196588298924514;5,8;2,04939015319192;0,7451309442520144;0,025072947016921723;214,6;9,502631214563678;0,7887304663658142;0,02429108999315702;80,2;5,069516742254631;0,794560396671295;0,03963545272676981;26,2;5,357238094391549;0,803246760368347;0,0955278944271986;6,2;3,1144823004794873
citeseer;pointnet_plus;centroids_16_8;5;0,7201201081275942;0,01382685594259643;0,655718514755006;0,024718877026036982;0,7020079602427856;0,017516666451631333;0,8918908596038818;0,05258411314626678;0,7483483791351319;0,010271844554068947;29,4;2,966479394838265;1149558,0;0,0;489,8947765877966;16,068198077924585;0,6164741556043736;0,0202541474676414;1,8512737405536739;0,060823265668592266;0,4450000047683716;0,18405162821269502;5,8;2,04939015319192;0,6947899580001831;0,025208592531808998;214,6;9,502631214563678;0,768386685848236;0,037484163188515475;80,2;5,069516742254631;0,8083061456680296;0,07072303697808513;26,2;5,357238094391549;0,8183982729911804;0,1246807680089837;6,2;3,1144823004794873
citeseer;pointnet_plus;centroids_4_2;5;0,7219219088554384;0,01266967599766682;0,6651605097338578;0,03050632341093402;0,7068266310701606;0,017955144298664436;0,8739596009254456;0,035005980609644875;0,748348379135132;0,00885758102902732;32,0;4,06201920231798;1149558,0;0,0;454,9029391442006;5,706298010295256;0,5694547577993945;0,011553898269473102;1,71007434774593;0,03469639119961843;0,4450000047683716;0,18405162821269502;5,8;2,04939015319192;0,6977473735809326;0,024454119015232482;214,6;9,502631214563678;0,7810665011405944;0,03505297444605055;80,2;5,069516742254631;0,7931249856948852;0,05872099652652878;26,2;5,357238094391549;0,7564935088157654;0,0700041473089053;6,2;3,1144823004794873
citeseer;pointnet_plus;centroids_8_4;5;0,7195195078849792;0,013530178513240705;0,6505766236307914;0,023956387432406627;0,6996847996754936;0,017216462849710512;0,8999294042587282;0,04617656878406307;0,7471471786499027;0,007773075910753848;28,6;2,701851217221259;1149558,0;0,0;461,4044535383988;3,5899789687788233;0,5816954438007086;0,011819019108197326;1,746833164566692;0,0354925498744643;0,47000000476837156;0,15751984493936275;5,8;2,04939015319192;0,7004030585289004;0,027436044858728487;214,6;9,502631214563678;0,750935173034668;0,04932337143092953;80,2;5,069516742254631;0,8198213100433348;0,07909906120359886;26,2;5,357238094391549;0,7716450333595277;0,13123827634828983;6,2;3,1144823004794873
citeseer;set_transformer;isab_inducing_16;5;0,71831830739975;0,01551712070033561;0,667032108200432;0,03892447990558629;0,7070673638170292;0,023543996182379942;0,9033533573150636;0,04542440437183201;0,7375375509262085;0,026317013319957124;13,2;0,8366600265340755;1467526,0;0,0;1008,9763306366025;32,81388180342164;0,7668483410030602;0,026687833270623972;2,30284787088006;0,08014364345532912;0,48000000119209296;0,1594913783299317;5,8;2,04939015319192;0,6864847779273986;0,01192684725020788;214,6;9,502631214563678;0,7816019654273988;0,040651131474129035;80,2;5,069516742254631;0,8083534955978392;0,049718987348542514;26,2;5,357238094391549;0,8002164602279663;0,13117936036752043;6,2;3,1144823004794873
citeseer;set_transformer;isab_inducing_32;5;0,7183183073997496;0,015805032461672187;0,6670767654313582;0,035580771322884716;0,7069274611321182;0,021505089487286074;0,900651216506958;0,03147518437041818;0,747747778892517;0,0193454820528588;12,6;1,6733200530681511;1471622,0;0,0;1014,6197647534016;37,83862855072554;0,769862110199756;0,026510889797384352;2,3118982288280963;0,0796122816738299;0,455000001192093;0,13964239985078752;5,8;2,04939015319192;0,6859547376632691;0,013779852674592743;214,6;9,502631214563678;0,7832344532012938;0,028212752474970442;80,2;5,069516742254631;0,8133697032928466;0,0715509995433198;26,2;5,357238094391549;0,8002164602279663;0,13117936036752043;6,2;3,1144823004794873
